foto-63	PXL_20260505_131446830.MP~4.jpg	group=PXL_20260505_131446830	frame=4
foto-64	PXL_20260505_131449983.MP~2.jpg	group=PXL_20260505_131449983	frame=2
foto-65	PXL_20260505_131449983.MP~3.jpg	group=PXL_20260505_131449983	frame=3
foto-66	PXL_20260505_131453919.MP~2.jpg	group=PXL_20260505_131453919	frame=2
foto-67	PXL_20260505_131500993.MP~2.jpg	group=PXL_20260505_131500993	frame=2
foto-68	PXL_20260505_131500993.MP~3.jpg	group=PXL_20260505_131500993	frame=3
foto-69	PXL_20260505_131506144.MP~2.jpg	group=PXL_20260505_131506144	frame=2
foto-70	PXL_20260505_131506144.MP~3.jpg	group=PXL_20260505_131506144	frame=3
foto-71	PXL_20260505_131508739.MP~2.jpg	group=PXL_20260505_131508739	frame=2
foto-72	PXL_20260505_131520098.MP~2.jpg	group=PXL_20260505_131520098	frame=2
foto-73	PXL_20260505_131534215.MP~2.jpg	group=PXL_20260505_131534215	frame=2
foto-74	PXL_20260505_131544303.MP~2.jpg	group=PXL_20260505_131544303	frame=2
foto-75	PXL_20260505_131551229.MP~2.jpg	group=PXL_20260505_131551229	frame=2
foto-76	PXL_20260505_131556900.MP~2.jpg	group=PXL_20260505_131556900	frame=2
foto-77	PXL_20260505_131604400.MP~2.jpg	group=PXL_20260505_131604400	frame=2
foto-78	PXL_20260505_131616063.MP~2.jpg	group=PXL_20260505_131616063	frame=2
foto-79	PXL_20260505_131616063.MP.jpg	group=PXL_20260505_131616063	frame=1
foto-80	PXL_20260505_131632419.MP~2.jpg	group=PXL_20260505_131632419	frame=2
foto-81	PXL_20260505_131651401.MP~2.jpg	group=PXL_20260505_131651401	frame=2
foto-82	PXL_20260505_131700115.MP~2.jpg	group=PXL_20260505_131700115	frame=2
foto-83	PXL_20260505_131709097.MP~2.jpg	group=PXL_20260505_131709097	frame=2
foto-84	PXL_20260505_131718569.MP~2.jpg	group=PXL_20260505_131718569	frame=2
foto-85	PXL_20260505_131726259.MP~2.jpg	group=PXL_20260505_131726259	frame=2
foto-86	PXL_20260505_131730761.MP~2.jpg	group=PXL_20260505_131730761	frame=2
foto-87	PXL_20260505_131747789.MP~2.jpg	group=PXL_20260505_131747789	frame=2
foto-88	PXL_20260505_131754758.MP~2.jpg	group=PXL_20260505_131754758	frame=2
foto-89	PXL_20260505_131758344.MP~2.jpg	group=PXL_20260505_131758344	frame=2
